Phylum,Class,Order,Genus,Species,OTU,OUT_NUM
Arthropoda,Arthropoda,Malacostraca,Portunidae,Xaiva,Portunidae_Xaiva,1
Arthropoda,Branchiopoda,Onychopoda,Pseudevadne,tergestina,Pseudevadne_tergestina,1
Arthropoda,Copepoda,Calanoida,Neocalanus,gracilis,Neocalanus_gracilis,1
Arthropoda,Copepoda,Calanoida,Paracalanus,aculeatus,Paracalanus_aculeatus,1
Arthropoda,Copepoda,Calanoida,Paracalanus,aff. indicus,Paracalanus_aff. indicus,1
Arthropoda,Copepoda,Cyclopoida,Ditrichocorycaeus,andrewsi,Ditrichocorycaeus_andrewsi,1
Arthropoda,Copepoda,Calanoida,Acrocalanus,gracilis,Acrocalanus_gracilis,1
Arthropoda,Copepoda,Calanoida,Calanoides,natalis,Calanoides_natalis,1
Arthropoda,Copepoda,Calanoida,Calanus,sinicus,Calanus_sinicus,1
Arthropoda,Copepoda,Calanoida,Candacia,curta,Candacia_curta,1
Arthropoda,Copepoda,Calanoida,Canthocalanus,pauper,Canthocalanus_pauper,1
Arthropoda,Copepoda,Calanoida,Cosmocalanus,darwinii,Cosmocalanus_darwinii,1
Arthropoda,Copepoda,Calanoida,Labidocera,acuta,Labidocera_acuta,1
Arthropoda,Copepoda,Calanoida,Labidocera,minuta,Labidocera_minuta,1
Arthropoda,Copepoda,Calanoida,Subeucalanus,mucronatus,Subeucalanus_mucronatus,1
Arthropoda,Copepoda,Calanoida,Subeucalanus,pileatus,Subeucalanus_pileatus,1
Arthropoda,Copepoda,Calanoida,Subeucalanus,subcrassus,Subeucalanus_subcrassus,1
Arthropoda,Copepoda,Calanoida,Temora,discaudata,Temora_discaudata,1
Arthropoda,Copepoda,Calanoida,Temora,turbinata,Temora_turbinata,1
Arthropoda,Copepoda,Calanoida,Undinula,vulgaris,Undinula_vulgaris,1
Arthropoda,Malacostraca,Amphipoda,Hyperioides,sibaginis,Hyperioides_sibaginis,1
Arthropoda,Malacostraca,Decapoda,Actaea,semblatae,Actaea_semblatae,1
Arthropoda,Malacostraca,Decapoda,Albunea,sp.,Albunea_sp.,1
Arthropoda,Malacostraca,Decapoda,Alpheus,dolerus,Alpheus_dolerus,1
Arthropoda,Malacostraca,Decapoda,Anapagurus,hendersoni,Anapagurus_hendersoni,1
Arthropoda,Malacostraca,Decapoda,Callichirus,gilchristi,Callichirus_gilchristi,1
Arthropoda,Malacostraca,Decapoda,Carcinoplax,monodi,Carcinoplax_monodi,1
Arthropoda,Malacostraca,Decapoda,Cestopagurus,timidus,Cestopagurus_timidus,1
Arthropoda,Malacostraca,Decapoda,Chaceon,macphersoni,Chaceon_macphersoni,1
Arthropoda,Malacostraca,Decapoda,Charybdis,feriata,Charybdis_feriata,1
Arthropoda,Malacostraca,Decapoda,Charybdis,longicollis,Charybdis_longicollis,1
Arthropoda,Malacostraca,Decapoda,Charybdis,lucifera,Charybdis_lucifera,1
Arthropoda,Malacostraca,Decapoda,Charybdis,rathbuni,Charybdis_rathbuni,1
Arthropoda,Malacostraca,Decapoda,Chiromantes,eulimene,Chiromantes_eulimene,1
Arthropoda,Malacostraca,Decapoda,Diogenes,aff. pallacens,Diogenes_aff. pallacens,1
Arthropoda,Malacostraca,Decapoda,Diogenes,costatus,Diogenes_costatus,1
Arthropoda,Malacostraca,Decapoda,Ebalia,nux,Ebalia_nux,1
Arthropoda,Malacostraca,Decapoda,Ebalia,tuberculata,Ebalia_tuberculata,1
Arthropoda,Malacostraca,Decapoda,Embalia,nux,Embalia_nux,1
Arthropoda,Malacostraca,Decapoda,Galathea,intermedia,Galathea_intermedia,1
Arthropoda,Malacostraca,Decapoda,Galathea,nexa,Galathea_nexa,1
Arthropoda,Malacostraca,Decapoda,Gnathophyllum,americanum,Gnathophyllum_americanum,1
Arthropoda,Malacostraca,Decapoda,Heterolithadia,sp.,Heterolithadia_sp.,1
Arthropoda,Malacostraca,Decapoda,Ixa,monodi,Ixa_monodi,1
Arthropoda,Malacostraca,Decapoda,Lauridromia,dehaani,Lauridromia_dehaani,1
Arthropoda,Malacostraca,Decapoda,Liocarcinus,corrugatus,Liocarcinus_corrugatus,1
Arthropoda,Malacostraca,Decapoda,Lucifer,intermedius,Lucifer_intermedius,1
Arthropoda,Malacostraca,Decapoda,Lucifer,sp. DNZ105,Lucifer_sp. DNZ105,1
Arthropoda,Malacostraca,Decapoda,Marsupenaeus,japonicus,Marsupenaeus_japonicus,1
Arthropoda,Malacostraca,Decapoda,Medaeops,neglectus,Medaeops_neglectus,1
Arthropoda,Malacostraca,Decapoda,Medorippe,lanata,Medorippe_lanata,1
Arthropoda,Malacostraca,Decapoda,Nikoides,sp.,Nikoides_sp.,1
Arthropoda,Malacostraca,Decapoda,Ocypode,ryderi,Ocypode_ryderi,1
Arthropoda,Malacostraca,Decapoda,Panulirus,homarus,Panulirus_homarus,1
Arthropoda,Malacostraca,Decapoda,Paraleptuca,chlorophthalmus,Paraleptuca_chlorophthalmus,1
Arthropoda,Malacostraca,Decapoda,Processa,elegantula,Processa_elegantula,1
Arthropoda,Malacostraca,Decapoda,Thalamita,crenata,Thalamita_crenata,1
Arthropoda,Malacostraca,Decapoda,Thalamita,gatavakensis,Thalamita_gatavakensis,1
Arthropoda,Malacostraca,Decapoda,Thalamita,parvidens,Thalamita_parvidens,1
Arthropoda,Malacostraca,Decapoda,Trachysalambria,curvirostris,Trachysalambria_curvirostris,1
Arthropoda,Malacostraca,Decapoda,Xaiva,mcleayi,Xaiva_mcleayi,1
Arthropoda,Malacostraca,Euphausiacea,Euphausia,recurva,Euphausia_recurva,1
Arthropoda,Malacostraca,Euphausiacea,Nematoscelis,atlantica,Nematoscelis_atlantica,1
Arthropoda,Malacostraca,Euphausiacea,Stylocheiron,carinatum,Stylocheiron_carinatum,1
Arthropoda,Malacostraca,Euphausiacea,Thysanoessa,gregaria,Thysanoessa_gregaria,1
Arthropoda,Malacostraca,Mysida,Mysidopsis,sp. 4,Mysidopsis_sp. 4,1
Arthropoda,Malacostraca,Mysida,Siriella,cf. thompsoni,Siriella_cf. thompsoni,1
Arthropoda,Malacostraca,Stomatopoda,Quollastria, gonypetes,Quollastria_ gonypetes,1
Arthropoda,Malacostraca,Stomatopoda,Quollastria,gonypetes,Quollastria_gonypetes,1
Arthropoda,Ostracoda,Halocyprida,Euconchoecia,cf. chierchiae S15-D7,Euconchoecia_cf. chierchiae S15-D7,1
Arthropoda,Ostracoda,Halocyprida,Mikroconchoecia,sp. Os099.1.2,Mikroconchoecia_sp. Os099.1.2,1
Chaetognatha,Sagittoidea,Aphragmophora,Aidanosagitta,neglecta,Aidanosagitta_neglecta,1
Chaetognatha,Sagittoidea,Aphragmophora,Pseudosagitta,lyra,Pseudosagitta_lyra,1
Chaetognatha,Sagittoidea,Aphragmophora,Sagitta,enflata,Sagitta_enflata,1
Chordata,Actinopterygii,Anguilliformes,Ophisurus,serpens,Ophisurus_serpens,1
Chordata,Actinopterygii,Beryciformes,Centroberyx,spinosus,Centroberyx_spinosus,1
Chordata,Actinopterygii,Blenniiformes,Parablennius,pilicornis,Parablennius_pilicornis,1
Chordata,Actinopterygii,Blenniiformes,Scartella,emarginata,Scartella_emarginata,1
Chordata,Actinopterygii,Callionymiformes,Callionymus,marleyi,Callionymus_marleyi,1
Chordata,Actinopterygii,Carangiformes,Decapterus,russelli,Decapterus_russelli,1
Chordata,Actinopterygii,Carangiformes,Trachurus,delagoa,Trachurus_delagoa,1
Chordata,Actinopterygii,Clupeiformes,Engraulis,japonicus,Engraulis_japonicus,1
Chordata,Actinopterygii,Clupeiformes,Etrumeus,sadina,Etrumeus_sadina,1
Chordata,Actinopterygii,Clupeiformes,Etrumeus,whiteheadi,Etrumeus_whiteheadi,1
Chordata,Actinopterygii,Clupeiformes,Sardinella,gibbosa,Sardinella_gibbosa,1
Chordata,Actinopterygii,Kurtiformes,Apogon,semiornatus,Apogon_semiornatus,1
Chordata,Actinopterygii,Ovalentaria,Chromis,dasygenys,Chromis_dasygenys,1
Chordata,Actinopterygii,Perciformes,Pomadasys,olivaceus,Pomadasys_olivaceus,1
Chordata,Actinopterygii,Perciformes,Pomadasys,striatus,Pomadasys_striatus,1
Chordata,Actinopterygii,Perciformes,Serranus,knysnaensis,Serranus_knysnaensis,1
Chordata,Actinopterygii,Pleuronectiformes,Cynoglossus,lida,Cynoglossus_lida,1
Chordata,Actinopterygii,Pleuronectiformes,Pseudorhombus,elevatus,Pseudorhombus_elevatus,1
Chordata,Actinopterygii,Scombriformes,Scomber,colias,Scomber_colias,1
Chordata,Actinopterygii,Scorpaeniformes,Cociella,heemstrai,Cociella_heemstrai,1
Chordata,Actinopterygii,Scorpaeniformes,Sorsogona,portuguesa,Sorsogona_portuguesa,1
Chordata,Actinopterygii,Spariformes,Spicara,australis,Spicara_australis,1
Chordata,Actinopterygii,Spariformes,Spondyliosoma,emarginatum,Spondyliosoma_emarginatum,1
Cnidaria,Hydrozoa,Siphonophorae,Diphyes,dispar,Diphyes_dispar,1
Cnidaria,Hydrozoa,Siphonophorae,Liriope,tetraphylla,Liriope_tetraphylla,1
Cnidaria,Hydrozoa,Siphonophorae,Muggiaea,atlantica,Muggiaea_atlantica,1
Cnidaria,Hydrozoa,Siphonophorae,Nanomia,bijuga,Nanomia_bijuga,1
Cnidaria,Scyphozoa,Semaeostomeae,Pelagia,noctiluca,Pelagia_noctiluca,1
Cnidaria,Scyphozoa,Semaeostomeae,Pelagia,panopyra,Pelagia_panopyra,1
Mollusca,Gastropoda,Cephalaspidea,Philine,aperta,Philine_aperta,1
Mollusca,Gastropoda,Neogastropoda,Nassarius,subtranslucidus,Nassarius_subtranslucidus,1
Mollusca,Gastropoda,Pteropoda,Creseis,acicula,Creseis_acicula,1
Mollusca,Gastropoda,Pteropoda,Creseis,virgula,Creseis_virgula,1
